버킷,기존_6월30일추출_건수,기존_비중%,신규_라이브SQL_7월1일_건수,신규_비중%,증감
조회(1차 챗봇),19,11.7,22,13.5,3
처리(2차 기능),47,29.0,56,34.4,9
계정·번호 꼬임,63,38.9,57,35.0,-6
사람 상담,17,10.5,11,6.7,-6
노이즈,16,9.9,17,10.4,1
합계,162,100.0,163,100.0,1

지표(원 보고서 정의 기준),기존%,신규%,비고
조회만(순수 L1),11.7,13.5,95%CI 7.6~17.6 내
1차(조회+계정),50.6,48.5,95%CI 43.0~58.2 내 — 재현
2차(+처리),79.6,82.8,95%CI 72.8~85.1 내 — 재현
남은(사람+노이즈),20.4,17.2,
