FAQ 주제,대상 대화수(전체기간),비중%,비고
영상 재생·플레이어 문제,130,7.8,"2월 피크 15.8%, 여름 3%대(계절성 큼)"
결제 무이자·할부 안내,1,0.1,카카오 채널 수요 거의 없음
FAQ 2주제 합계,131,7.9,"키워드 측정, 실제 해결률은 배포 후"

월,총 대화,영상재생 문제,비율%
2025-12,374,8,2.1
2026-01,461,50,10.8
2026-02,222,35,15.8
2026-03,217,19,8.8
2026-04,86,8,9.3
2026-05,166,6,3.6
2026-06,132,4,3.0
2026-07,1,0,0.0
