학년,건수,비중%
고3,146666,34.57
고2,122170,28.8
고1,68806,16.22
N수,62786,14.8
,14152,3.34
중3,7784,1.83
중2,1199,0.28
중1,511,0.12
기타,65,0.02
성인(N수),41,0.01
초6,10,0.0
초1,5,0.0
초2,4,0.0
초5,1,0.0
